priority,quarter,date,amount,vendor,description,receipt_state,candidate_count,confidence,best_source,project_code,project_source,rd_eligible,xero_next_step,xero_search,bank_line_id
1,Q3,2026-03-30,687.02,GREEN MOTION SLOVENIJA BRNIK - AEROD,GREEN MOTION SLOVENIJA BRNIK - AEROD · NAB Visa ACT #8815,local_receipt_ready,0,,,ACT-IN,location,true,"Approve matching Xero Expenses draft or create spend-money, then reconcile.",GREEN MOTION SLOVENIJA BRNIK - AEROD 687.02 2026-03-30,a40986c9-10f2-461a-9313-5392b66db0c3
1,Q3,2026-03-20,652.50,Maleny Landscaping Supplies,MALENY LANDSCAPING MALENY · NAB Visa ACT #8815,local_receipt_ready,5,100,dext_receipt,ACT-FM,location,false,"Approve matching Xero Expenses draft or create spend-money, then reconcile.",Maleny Landscaping Supplies 652.50 2026-03-20,167274b9-693f-4ee8-96f5-58bcc70d4bcb
1,Q3,2026-03-16,635.03,NRMA Insurance,NRMA Insurance nrma.com.au · NAB Visa ACT #8815,local_receipt_ready,0,,,ACT-IN,vendor_override,true,"Approve matching Xero Expenses draft or create spend-money, then reconcile.",NRMA Insurance 635.03 2026-03-16,abc96629-be24-4068-adb2-fe3bad9542f4
1,Q2,2025-12-03,632.52,Bunnings Warehouse,BUNNINGS 399000 BURDELL · NAB Visa ACT #8815,local_receipt_ready,5,100,dext_receipt,ACT-HV,location,false,"Approve matching Xero Expenses draft or create spend-money, then reconcile.",Bunnings Warehouse 632.52 2025-12-03,01326693-c9dc-4d7e-a576-784bfe3285f9
1,Q2,2025-10-23,623.70,Fernland,INTERNET TRANSFER Linked Acc Trns · NAB Visa ACT #8815,local_receipt_ready,1,100,dext_receipt,ACT-IN,auto,true,"Approve matching Xero Expenses draft or create spend-money, then reconcile.",Fernland 623.70 2025-10-23,c0675912-50b9-4b8b-9a07-128b132d6625
1,Q3,2026-02-09,600.00,Takayna Trail 2026,A CURIOUS TRACTOR WITTA · NAB Visa ACT #8815,local_receipt_ready,1,100,dext_receipt,ACT-FM,location,false,"Approve matching Xero Expenses draft or create spend-money, then reconcile.",Takayna Trail 2026 600.00 2026-02-09,bbc3877e-6063-46c8-b206-2988b1ecec9b
1,Q3,2026-02-09,600.00,BOB BROWN FOUNDATION,BOB BROWN FOUNDATION HOBART · NAB Visa ACT #8815,local_receipt_ready,3,100,dext_receipt,ACT-IN,location,true,"Approve matching Xero Expenses draft or create spend-money, then reconcile.",BOB BROWN FOUNDATION 600.00 2026-02-09,30c8d74c-2974-4768-8958-e8ee19d7d9a5
1,Q3,2026-03-30,598.57,"HERTZ, RA, 643314792 SOUTH MELBOUR","HERTZ, RA, 643314792 SOUTH MELBOUR · NAB Visa ACT #8815",local_receipt_ready,0,,,ACT-IN,vendor_rule,true,"Approve matching Xero Expenses draft or create spend-money, then reconcile.","HERTZ, RA, 643314792 SOUTH MELBOUR 598.57 2026-03-30",85a72cac-ffad-4b83-aed7-3971f3c65782
1,Q3,2026-03-19,588.00,DoubleTree Alice Springs Alice Springs,DoubleTree Alice Springs Alice Springs · NAB Visa ACT #8815,local_receipt_ready,0,,,ACT-GD,location,true,"Approve matching Xero Expenses draft or create spend-money, then reconcile.",DoubleTree Alice Springs Alice Springs 588.00 2026-03-19,849a9caf-f895-439d-9b9a-e17974ff38bc
1,Q3,2026-03-03,585.36,Woolworths,WOOLWORTHS/2 BUNYA ST MALENY · NAB Visa ACT #8815,local_receipt_ready,5,99,xero_bill,ACT-FM,location,false,"Approve matching Xero Expenses draft or create spend-money, then reconcile.",Woolworths 585.36 2026-03-03,6a977565-1c5a-468b-81d3-9f0a7cec24b0
1,Q3,2026-02-16,572.37,Wild Earth,WILD EARTH AUSTRALIA Brisbane Airp · NAB Visa ACT #8815,local_receipt_ready,3,98,xero_bill,ACT-HV,vendor_rule,false,"Approve matching Xero Expenses draft or create spend-money, then reconcile.",Wild Earth 572.37 2026-02-16,5d13b3b2-bac3-437b-8122-f1fe9c777cb0
1,Q2,2025-12-12,548.81,Bunnings Warehouse,BUNNINGS 634000 MINCHINBURY · NAB Visa ACT #8815,local_receipt_ready,5,100,dext_receipt,ACT-MY,auto,false,"Approve matching Xero Expenses draft or create spend-money, then reconcile.",Bunnings Warehouse 548.81 2025-12-12,92f08046-d385-4715-aca4-40653ea25ed6
1,Q2,2025-10-28,534.19,Onsite Rentals Dinkum Dunnies,DINKUM DUNNIES CABOOLTURE · NAB Visa ACT #8815,local_receipt_ready,3,100,dext_receipt,ACT-HV,vendor_override,false,"Approve matching Xero Expenses draft or create spend-money, then reconcile.",Onsite Rentals Dinkum Dunnies 534.19 2025-10-28,859fe0ac-3b8e-4545-92bd-e3c17dd409aa
1,Q2,2025-11-18,518.18,Budget,BUDGET RENT A CAR MASCOT · NAB Visa ACT #8815,local_receipt_ready,3,100,dext_receipt,ACT-IN,auto,true,"Approve matching Xero Expenses draft or create spend-money, then reconcile.",Budget 518.18 2025-11-18,434fa9cb-53c4-44a6-96ee-4acfc59adcf2
1,Q3,2026-01-08,507.51,Maleny Hardware And Rural Supplies,MALENY HARDWARE AND RURALMALENY · NAB Visa ACT #8815,local_receipt_ready,5,100,dext_receipt,ACT-FM,location,false,"Approve matching Xero Expenses draft or create spend-money, then reconcile.",Maleny Hardware And Rural Supplies 507.51 2026-01-08,96577016-2937-4449-9f92-39d3d32f2a54
1,Q3,2026-01-30,456.99,AAMI BUSINESS INSUR BRISBANE,AAMI BUSINESS INSUR BRISBANE · NAB Visa ACT #8815,local_receipt_ready,0,,,ACT-IN,vendor_rule,true,"Approve matching Xero Expenses draft or create spend-money, then reconcile.",AAMI BUSINESS INSUR BRISBANE 456.99 2026-01-30,f5bc9a13-8fc2-4b50-a0f7-88cfa16ce44c
1,Q3,2026-01-02,456.99,AAMI BUSINESS INSUR BRISBANE,AAMI BUSINESS INSUR BRISBANE · NAB Visa ACT #8815,local_receipt_ready,0,,,ACT-IN,vendor_rule,true,"Approve matching Xero Expenses draft or create spend-money, then reconcile.",AAMI BUSINESS INSUR BRISBANE 456.99 2026-01-02,43db6f66-f62f-48b1-a74f-86d29e32c7bc
1,Q3,2026-02-06,433.73,AGL,AGL SALES PTY LTD SYDNEY · NAB Visa ACT #8815,local_receipt_ready,3,98,xero_bill,ACT-FM,subscription,false,"Approve matching Xero Expenses draft or create spend-money, then reconcile.",AGL 433.73 2026-02-06,125acc2a-30d0-4873-b74c-f841eee2a1d7
1,Q2,2025-10-07,424.91,Centre Trailer Sales,CENTRE TRAILER SALES CICCONE · NAB Visa ACT #8815,local_receipt_ready,3,100,dext_receipt,ACT-GD,auto,true,"Approve matching Xero Expenses draft or create spend-money, then reconcile.",Centre Trailer Sales 424.91 2025-10-07,cd9e47c8-a5e0-4ba8-907a-1421b3e620ae
1,Q2,2025-12-15,424.00,Kennards Hire,KENNARDS HIRE HO WA SEVEN HILLS · NAB Visa ACT #8815,local_receipt_ready,3,100,dext_receipt,ACT-MY,auto,false,"Approve matching Xero Expenses draft or create spend-money, then reconcile.",Kennards Hire 424.00 2025-12-15,62ae8485-780e-47be-b162-2a58c531b453
1,Q3,2026-01-15,399.45,Liberty Maleny,AIRTASKER* 19323270X HAYMARKET · NAB Visa ACT #8815,local_receipt_ready,1,100,dext_receipt,ACT-IN,vendor_rule,true,"Approve matching Xero Expenses draft or create spend-money, then reconcile.",Liberty Maleny 399.45 2026-01-15,235200af-055a-4434-9768-0ac5bb323cb6
1,Q3,2026-02-19,374.07,Tullah Lakeside Lodge,TULLAH LAKESIDE LODGE TULLAH · NAB Visa ACT #8815,local_receipt_ready,3,77,dext_receipt,ACT-IN,location,true,"Approve matching Xero Expenses draft or create spend-money, then reconcile.",Tullah Lakeside Lodge 374.07 2026-02-19,0a1070b9-10e8-41e3-b7df-52b66d345c95
1,Q3,2026-01-28,366.58,IGA,SEASONS SUPERMARKET 10 MALENY · NAB Visa ACT #8815,local_receipt_ready,6,100,xero_me,ACT-FM,location,false,"Approve matching Xero Expenses draft or create spend-money, then reconcile.",IGA 366.58 2026-01-28,9ef403ce-4173-4abe-aa4b-8eb3e49bdc54
1,Q3,2026-03-12,362.83,agl,AGL SALES PTY LTD SYDNEY · NAB Visa ACT #8815,local_receipt_ready,3,100,dext_receipt,ACT-FM,subscription,false,"Approve matching Xero Expenses draft or create spend-money, then reconcile.",agl 362.83 2026-03-12,24d510b1-dcd8-48bd-a5cb-400c04df8096
1,Q3,2026-02-20,349.48,Amazon,AMAZON MARKETPLACE AU SYDNEY · NAB Visa ACT #8815,local_receipt_ready,0,,,ACT-IN,vendor_rule,true,"Approve matching Xero Expenses draft or create spend-money, then reconcile.",Amazon 349.48 2026-02-20,561981fb-5ed7-4f92-af2f-f0746266e06a
1,Q2,2025-12-03,330.00,Domino's Pizza Enterprises,Dominos Estore Kirwan dominos.com.a · NAB Visa ACT #8815,local_receipt_ready,1,100,dext_receipt,ACT-HV,auto,false,"Approve matching Xero Expenses draft or create spend-money, then reconcile.",Domino's Pizza Enterprises 330.00 2025-12-03,53474574-8905-49a3-b43c-1bf48d7c722b
1,Q3,2026-02-09,326.60,Esmay,LS Esmay Adelaide Hackney · NAB Visa ACT #8815,local_receipt_ready,5,100,xero_me,ACT-IN,auto,true,"Approve matching Xero Expenses draft or create spend-money, then reconcile.",Esmay 326.60 2026-02-09,11120af4-2419-489f-bbce-c3fd57428a4a
1,Q2,2025-11-12,319.09,AGL,AGL SALES PTY LTD SYDNEY · NAB Visa ACT #8815,local_receipt_ready,5,100,dext_receipt,ACT-FM,auto,false,"Approve matching Xero Expenses draft or create spend-money, then reconcile.",AGL 319.09 2025-11-12,647faf9f-1d81-405a-9876-bd5298a1d538
1,Q3,2026-01-27,312.77,Easel Software,EASEL PRO EASEL.COM IL · NAB Visa ACT #8815,local_receipt_ready,4,100,xero_me,ACT-IN,vendor_rule,true,"Approve matching Xero Expenses draft or create spend-money, then reconcile.",Easel Software 312.77 2026-01-27,374a0cb4-e8db-48e4-9520-3e3141aa6417
1,Q3,2026-02-10,300.00,Montes Reef Resort,REEF RESORT HIDEAWAY BAY · NAB Visa ACT #8815,local_receipt_ready,5,98,xero_bill,ACT-IN,vendor_rule,true,"Approve matching Xero Expenses draft or create spend-money, then reconcile.",Montes Reef Resort 300.00 2026-02-10,af1e886e-1881-4bd8-89ed-cf217138bcee
1,Q2,2025-10-08,296.50,Coles Supermarkets,COLES 0418 ALICE SPRINGS · NAB Visa ACT #8815,local_receipt_ready,3,100,dext_receipt,ACT-GD,auto,true,"Approve matching Xero Expenses draft or create spend-money, then reconcile.",Coles Supermarkets 296.50 2025-10-08,e633a8d8-8405-4c5c-994d-40a04125d88c
1,Q3,2026-03-09,294.04,IGA,SEASONS SUPERMARKET 10 MALENY · NAB Visa ACT #8815,local_receipt_ready,6,100,dext_receipt,ACT-FM,location,false,"Approve matching Xero Expenses draft or create spend-money, then reconcile.",IGA 294.04 2026-03-09,66068f3d-b9ba-4852-a118-e4e3646694e1
1,Q3,2026-01-28,288.00,Orange Sky Australia,ORANGESKY STAFFORD · NAB Visa ACT #8815,local_receipt_ready,1,100,dext_receipt,ACT-IN,vendor_rule,true,"Approve matching Xero Expenses draft or create spend-money, then reconcile.",Orange Sky Australia 288.00 2026-01-28,78bd4625-bbe8-4ea3-961d-16d8bedae609
1,Q3,2026-03-02,280.00,Mapleton Public House,MAPLETONPUBLI260304NB MAPLETON · NAB Visa ACT #8815,local_receipt_ready,3,98,xero_bill,ACT-FM,location,false,"Approve matching Xero Expenses draft or create spend-money, then reconcile.",Mapleton Public House 280.00 2026-03-02,46ed2b9b-65f7-48e4-b89d-d5ba578d6adf
1,Q3,2026-01-09,275.00,Descript,Hotel at Booking.com Amsterdam · NAB Visa ACT #8815,local_receipt_ready,3,74,xero_bill,ACT-IN,location,true,"Approve matching Xero Expenses draft or create spend-money, then reconcile.",Descript 275.00 2026-01-09,dcc03b05-8dfd-4d4d-be89-4cfdc443a006
1,Q3,2026-02-23,273.63,Savage Transport Trust,TRANSPORTMAINRDS BRISBANE · NAB Visa ACT #8815,local_receipt_ready,1,100,dext_receipt,ACT-IN,vendor_rule,true,"Approve matching Xero Expenses draft or create spend-money, then reconcile.",Savage Transport Trust 273.63 2026-02-23,c1177f1f-d329-420b-b3a7-da125b88187e
1,Q3,2026-02-27,273.63,TRANSPORTMAINRDS BRISBANE,TRANSPORTMAINRDS BRISBANE · NAB Visa ACT #8815,local_receipt_ready,0,,,ACT-IN,vendor_rule,true,"Approve matching Xero Expenses draft or create spend-money, then reconcile.",TRANSPORTMAINRDS BRISBANE 273.63 2026-02-27,189b54fc-b199-4574-bc74-370a662c329d
