Date       | Src  | $          | Vendor                          | Description / Note
2026-05-02 | bill |     427.88 | Bunnings Warehouse              | Materials and supplies
2026-05-03 | spnd |    3150.96 | Longara                         | [milk crates] .
2026-05-05 | spnd |      27.78 | Bunnings Warehouse              | .
2026-05-05 | spnd |     812.01 | Savage Landscape Supplies       | .
2026-05-05 | bill |      65.00 | Sophie Deirdre Hickey           | Gardening - 5/5/26
2026-05-05 | spnd |     269.66 | Woolworths                      | . | .
2026-05-07 | spnd |    4031.50 | Kennedy's                       | [★ St Mary's 2.5t + recycled timber] Reclaimed and sustainable architectural timbers including recycled pine a
2026-05-08 | spnd |       6.12 | Nest In Witta                   | 
2026-05-09 | spnd |     272.26 | Liberty Maleny                  | Fuel - Diesel
2026-05-11 | spnd |      26.52 | Nest In Witta                   | 
2026-05-11 | spnd |      10.40 | Nest In Witta                   | 
2026-05-12 | spnd |      59.82 | Bunnings Warehouse              | Lead extension
2026-05-14 | spnd |     132.96 | 7-Eleven                        | Fuel
2026-05-14 | spnd |     100.04 | Brisbane City Council           | Waste Disposal
2026-05-14 | spnd |     864.19 | Bunnings Warehouse              | Bunnings Warehouse
2026-05-15 | spnd |     111.10 | Maleny Hotel                    | [? meal — review tag] .
-----------+------+------------+---------------------------------+-----------------------------------------------------------
Sum of 219 rows: $212,065.41
