date,contact_name,total,project_code,entity_code,bank_account,has_attachments,is_reconciled,rd_eligible,rd_category,status
2026-03-13,NAB,0.47,ACT-HQ,ACT-ST,NAB Visa ACT #8815,false,true,false,,AUTHORISED
2026-03-11,Avis,483.6,ACT-GD,ACT-ST,NAB Visa ACT #8815,true,false,true,supporting,AUTHORISED
2026-03-11,Telstra,180,ACT-GP,ACT-ST,NAB Visa ACT #8815,true,false,false,,AUTHORISED
2026-03-11,OpenAI,10,ACT-IN,ACT-ST,NAB Visa ACT #8815,true,false,true,core,AUTHORISED
2026-03-10,Fisher's Oysters,1120,ACT-IN,ACT-ST,NAB Visa ACT #8815,true,true,true,core,AUTHORISED
2026-03-10,Anthropic,9.46,ACT-IN,ACT-ST,NAB Visa ACT #8815,false,true,true,core,AUTHORISED
2026-03-10,NAB,2.66,ACT-HQ,ACT-ST,NAB Visa ACT #8815,false,true,false,,AUTHORISED
2026-03-10,NAB,2.43,ACT-HQ,ACT-ST,NAB Visa ACT #8815,false,true,false,,AUTHORISED
2026-03-10,NAB,0.33,ACT-HQ,ACT-ST,NAB Visa ACT #8815,false,true,false,,AUTHORISED
2026-03-09,Paddle.com Market,69.36,ACT-IN,ACT-ST,NAB Visa ACT #8815,true,false,true,core,AUTHORISED
2026-03-09,Anthropic,15.77,ACT-IN,ACT-ST,NAB Visa ACT #8815,false,true,true,core,AUTHORISED
2026-03-09,Uber,9.99,ACT-IN,ACT-ST,NAB Visa ACT #8815,true,true,true,core,AUTHORISED
2026-03-09,NAB,0.6,ACT-HQ,ACT-ST,NAB Visa ACT #8815,false,true,false,,AUTHORISED
2026-03-09,NAB,0.55,ACT-HQ,ACT-ST,NAB Visa ACT #8815,false,true,false,,AUTHORISED
2026-03-06,Claude.AI,286.45,ACT-IN,ACT-ST,NAB Visa ACT #8815,false,true,true,core,AUTHORISED
2026-03-06,LinkedIn Singapore,74.99,ACT-IN,ACT-ST,NAB Visa ACT #8815,false,true,true,core,AUTHORISED
2026-03-06,HighLevel,35.81,ACT-IN,ACT-ST,NAB Visa ACT #8815,true,true,true,core,AUTHORISED
2026-03-06,OpenAI,30,ACT-IN,ACT-ST,NAB Visa ACT #8815,false,true,true,core,AUTHORISED
2026-03-06,Apple Pty Ltd,14.99,ACT-IN,ACT-ST,NAB Visa ACT #8815,true,false,true,core,AUTHORISED
2026-03-06,Uber,13.06,ACT-IN,ACT-ST,NAB Visa ACT #8815,false,true,true,core,AUTHORISED
2026-03-06,NAB,10.03,ACT-HQ,ACT-ST,NAB Visa ACT #8815,false,true,false,,AUTHORISED
2026-03-06,NAB,1.25,ACT-HQ,ACT-ST,NAB Visa ACT #8815,false,true,false,,AUTHORISED
2026-03-06,NAB,1.05,ACT-HQ,ACT-ST,NAB Visa ACT #8815,false,true,false,,AUTHORISED
2026-03-06,NAB,1.04,ACT-HQ,ACT-ST,NAB Visa ACT #8815,false,true,false,,AUTHORISED
2026-03-05,Fisher's Oysters,1120,ACT-HV,ACT-ST,NAB Visa ACT #8815,true,false,false,,AUTHORISED
2026-03-04,Qantas,1366.51,ACT-IN,ACT-ST,NAB Visa ACT #8815,false,true,true,core,AUTHORISED
2026-03-04,Qantas,432.52,ACT-IN,ACT-ST,NAB Visa ACT #8815,false,true,true,core,AUTHORISED
2026-03-04,Qantas,329.22,ACT-IN,ACT-ST,NAB Visa ACT #8815,false,true,true,core,AUTHORISED
2026-03-04,Uber,56.87,ACT-IN,ACT-ST,NAB Visa ACT #8815,false,true,true,core,AUTHORISED
2026-03-04,Uber,43.28,ACT-IN,ACT-ST,NAB Visa ACT #8815,false,true,true,core,AUTHORISED
2026-03-04,Uber,31.01,ACT-IN,ACT-ST,NAB Visa ACT #8815,false,true,true,core,AUTHORISED
2026-03-03,Qantas,2178.08,ACT-IN,ACT-ST,NAB Visa ACT #8815,false,true,true,core,AUTHORISED
2026-03-03,Qantas,2001.71,ACT-IN,ACT-ST,NAB Visa ACT #8815,false,true,true,core,AUTHORISED
2026-03-03,Qantas,2001.71,ACT-IN,ACT-ST,NAB Visa ACT #8815,false,true,true,core,AUTHORISED
2026-03-03,Qantas,2001.71,ACT-IN,ACT-ST,NAB Visa ACT #8815,false,true,true,core,AUTHORISED
2026-03-03,Qantas,2001.71,ACT-IN,ACT-ST,NAB Visa ACT #8815,false,true,true,core,AUTHORISED
2026-03-03,Qantas,1236.97,ACT-IN,ACT-ST,NAB Visa ACT #8815,false,true,true,core,AUTHORISED
2026-03-03,Qantas,1112.89,ACT-IN,ACT-ST,NAB Visa ACT #8815,false,true,true,core,AUTHORISED
2026-03-03,Qantas,854.82,ACT-IN,ACT-ST,NAB Visa ACT #8815,false,true,true,core,AUTHORISED
2026-03-03,Qantas,838.74,ACT-IN,ACT-ST,NAB Visa ACT #8815,false,true,true,core,AUTHORISED
2026-03-03,Qantas,676.38,ACT-IN,ACT-ST,NAB Visa ACT #8815,false,true,true,core,AUTHORISED
2026-03-03,Qantas,452.38,ACT-IN,ACT-ST,NAB Visa ACT #8815,false,true,true,core,AUTHORISED
2026-03-03,Qantas,415.9,ACT-IN,ACT-ST,NAB Visa ACT #8815,false,true,true,core,AUTHORISED
2026-03-03,Qantas,236.16,ACT-IN,ACT-ST,NAB Visa ACT #8815,false,true,true,core,AUTHORISED
2026-03-03,Qantas,179.88,ACT-IN,ACT-ST,NAB Visa ACT #8815,false,true,true,core,AUTHORISED
2026-03-03,Uber,30.28,ACT-IN,ACT-ST,NAB Visa ACT #8815,false,true,true,core,AUTHORISED
2026-03-03,Uber,29.23,ACT-IN,ACT-ST,NAB Visa ACT #8815,false,true,true,core,AUTHORISED
2026-03-03,Uber,25.32,ACT-IN,ACT-ST,NAB Visa ACT #8815,false,true,true,core,AUTHORISED
2026-03-03,Uber,24.95,ACT-IN,ACT-ST,NAB Visa ACT #8815,false,true,true,core,AUTHORISED
2026-03-03,Uber,24.61,ACT-IN,ACT-ST,NAB Visa ACT #8815,false,true,true,core,AUTHORISED
2026-03-03,Uber,24.35,ACT-IN,ACT-ST,NAB Visa ACT #8815,false,true,true,core,AUTHORISED
2026-03-03,Uber,12.35,ACT-IN,ACT-ST,NAB Visa ACT #8815,false,true,true,core,AUTHORISED
2026-03-03,DocPlay,9.99,ACT-IN,ACT-ST,NAB Visa ACT #8815,false,true,true,core,AUTHORISED
2026-03-02,Dialpad,56,ACT-IN,ACT-ST,NAB Visa ACT #8815,false,true,true,core,AUTHORISED
2026-03-02,Webflow,37.36,ACT-IN,ACT-ST,NAB Visa ACT #8815,false,true,true,core,AUTHORISED
2026-03-02,Uber,32.43,ACT-IN,ACT-ST,NAB Visa ACT #8815,false,true,true,core,AUTHORISED
2026-03-02,OpenAI,31.05,ACT-IN,ACT-ST,NAB Visa ACT #8815,false,true,true,core,AUTHORISED
2026-03-02,Uber,29.51,ACT-IN,ACT-ST,NAB Visa ACT #8815,false,true,true,core,AUTHORISED
2026-03-02,Uber,26.41,ACT-IN,ACT-ST,NAB Visa ACT #8815,false,true,true,core,AUTHORISED
2026-03-02,Uber,25.59,ACT-IN,ACT-ST,NAB Visa ACT #8815,false,true,true,core,AUTHORISED
2026-03-02,Uber,18.98,ACT-IN,ACT-ST,NAB Visa ACT #8815,false,true,true,core,AUTHORISED
2026-03-02,OpenAI,14.11,ACT-IN,ACT-ST,NAB Visa ACT #8815,false,true,true,core,AUTHORISED
2026-03-02,Firecrawl,13.15,ACT-IN,ACT-ST,NAB Visa ACT #8815,false,true,true,core,AUTHORISED
2026-03-02,Firecrawl,12.7,ACT-IN,ACT-ST,NAB Visa ACT #8815,false,true,true,core,AUTHORISED
2026-03-02,Firecrawl,12.7,ACT-IN,ACT-ST,NAB Visa ACT #8815,false,true,true,core,AUTHORISED
2026-03-02,Firecrawl,12.7,ACT-IN,ACT-ST,NAB Visa ACT #8815,false,true,true,core,AUTHORISED
2026-03-02,NAB,2.4,ACT-HQ,ACT-ST,NAB Visa ACT #8815,false,true,false,,AUTHORISED
2026-03-02,NAB,1.96,ACT-HQ,ACT-ST,NAB Visa ACT #8815,false,true,false,,AUTHORISED
2026-03-02,NAB,1.31,ACT-HQ,ACT-ST,NAB Visa ACT #8815,false,true,false,,AUTHORISED
2026-03-02,NAB,1.09,ACT-HQ,ACT-ST,NAB Visa ACT #8815,false,true,false,,AUTHORISED
2026-03-02,NAB,0.49,ACT-HQ,ACT-ST,NAB Visa ACT #8815,false,true,false,,AUTHORISED
2026-03-02,NAB,0.46,ACT-HQ,ACT-ST,NAB Visa ACT #8815,false,true,false,,AUTHORISED
2026-03-02,NAB,0.44,ACT-HQ,ACT-ST,NAB Visa ACT #8815,false,true,false,,AUTHORISED
2026-03-02,NAB,0.44,ACT-HQ,ACT-ST,NAB Visa ACT #8815,false,true,false,,AUTHORISED
2026-03-02,NAB,0.44,ACT-HQ,ACT-ST,NAB Visa ACT #8815,false,true,false,,AUTHORISED
2026-02-26,Bunnings,571.1,ACT-IN,ACT-ST,NAB Visa ACT #8815,false,true,true,core,AUTHORISED
2026-02-26,Audible,16.45,ACT-IN,ACT-ST,NAB Visa ACT #8815,false,true,true,core,AUTHORISED
2026-02-25,NAB,2.43,ACT-HQ,ACT-ST,NAB Visa ACT #8815,false,true,false,,AUTHORISED
2026-02-24,HighLevel,138.31,ACT-IN,ACT-ST,NAB Visa ACT #8815,false,true,true,core,AUTHORISED
2026-02-24,Railway Corporation,7.13,ACT-IN,ACT-ST,NAB Visa ACT #8815,false,true,true,core,AUTHORISED
2026-02-24,NAB,4.84,ACT-HQ,ACT-ST,NAB Visa ACT #8815,false,true,false,,AUTHORISED
2026-02-24,NAB,0.25,ACT-HQ,ACT-ST,NAB Visa ACT #8815,false,true,false,,AUTHORISED
2026-02-23,Longara,3155,ACT-HV,ACT-ST,NAB Visa ACT #8815,true,false,false,,AUTHORISED
2026-02-23,NAB,134.16,ACT-HQ,ACT-ST,NAB Visa ACT #8815,false,true,false,,AUTHORISED
2026-02-23,Webflow,45.49,ACT-IN,ACT-ST,NAB Visa ACT #8815,false,true,true,core,AUTHORISED
2026-02-23,Uber,22.62,ACT-IN,ACT-ST,NAB Visa ACT #8815,false,true,true,core,AUTHORISED
2026-02-23,Only Domains,19.79,ACT-IN,ACT-ST,NAB Visa ACT #8815,false,true,true,core,AUTHORISED
2026-02-23,Squarespace,11.8,ACT-IN,ACT-ST,NAB Visa ACT #8815,false,true,true,core,AUTHORISED
2026-02-23,NAB,4.36,ACT-HQ,ACT-ST,NAB Visa ACT #8815,false,true,false,,AUTHORISED
2026-02-23,NAB,1.59,ACT-HQ,ACT-ST,NAB Visa ACT #8815,false,true,false,,AUTHORISED
2026-02-23,NAB,0.69,ACT-HQ,ACT-ST,NAB Visa ACT #8815,false,true,false,,AUTHORISED
2026-02-23,NAB,0.41,ACT-HQ,ACT-ST,NAB Visa ACT #8815,false,true,false,,AUTHORISED
2026-02-19,NAB,0.52,ACT-HQ,ACT-ST,NAB Visa ACT #8815,false,true,false,,AUTHORISED
2026-02-18,Uber,66.1,ACT-IN,ACT-ST,NAB Visa ACT #8815,true,true,true,core,AUTHORISED
2026-02-18,Vercel,28.36,ACT-IN,ACT-ST,NAB Visa ACT #8815,false,true,true,core,AUTHORISED
2026-02-18,Uber,26.41,ACT-IN,ACT-ST,NAB Visa ACT #8815,false,true,true,core,AUTHORISED
2026-02-18,NAB,1,ACT-HQ,ACT-ST,NAB Visa ACT #8815,false,true,false,,AUTHORISED
2026-02-18,NAB,0.99,ACT-HQ,ACT-ST,NAB Visa ACT #8815,false,true,false,,AUTHORISED
2026-02-17,Hinterland Aviation,187.68,ACT-IN,ACT-ST,NAB Visa ACT #8815,false,true,true,core,AUTHORISED
2026-02-17,Uber,96.69,ACT-IN,ACT-ST,NAB Visa ACT #8815,false,true,true,core,AUTHORISED
2026-02-17,Uber,58.51,ACT-IN,ACT-ST,NAB Visa ACT #8815,false,true,true,core,AUTHORISED
2026-02-16,Webflow,65.62,ACT-IN,ACT-ST,NAB Visa ACT #8815,false,true,true,core,AUTHORISED
2026-02-16,Webflow,65.62,ACT-IN,ACT-ST,NAB Visa ACT #8815,false,true,true,core,AUTHORISED
2026-02-16,Codeguide,41.09,ACT-IN,ACT-ST,NAB Visa ACT #8815,true,true,true,core,AUTHORISED
2026-02-16,Firecrawl,29.61,ACT-IN,ACT-ST,NAB Visa ACT #8815,false,true,true,core,AUTHORISED
2026-02-16,Squarespace,18.9,ACT-IN,ACT-ST,NAB Visa ACT #8815,false,true,true,core,AUTHORISED
2026-02-16,Anthropic,15.76,ACT-IN,ACT-ST,NAB Visa ACT #8815,false,true,true,core,AUTHORISED
2026-02-16,NAB,2.3,ACT-HQ,ACT-ST,NAB Visa ACT #8815,false,true,false,,AUTHORISED
2026-02-16,NAB,2.3,ACT-HQ,ACT-ST,NAB Visa ACT #8815,false,true,false,,AUTHORISED
2026-02-16,NAB,1.44,ACT-HQ,ACT-ST,NAB Visa ACT #8815,false,true,false,,AUTHORISED
2026-02-16,NAB,1.04,ACT-HQ,ACT-ST,NAB Visa ACT #8815,false,true,false,,AUTHORISED
2026-02-16,NAB,0.66,ACT-HQ,ACT-ST,NAB Visa ACT #8815,false,true,false,,AUTHORISED
2026-02-16,NAB,0.55,ACT-HQ,ACT-ST,NAB Visa ACT #8815,false,true,false,,AUTHORISED
2026-02-13,Department of Transport and Main Roads,1058.2,ACT-IN,ACT-ST,NAB Visa ACT #8815,true,false,true,core,AUTHORISED
2026-02-13,Xero,75,ACT-IN,ACT-ST,NAB Visa ACT #8815,false,true,true,core,AUTHORISED
2026-02-13,Uber,21.71,ACT-IN,ACT-ST,NAB Visa ACT #8815,false,true,true,core,AUTHORISED
2026-02-13,NAB,0.25,ACT-HQ,ACT-ST,NAB Visa ACT #8815,false,true,false,,AUTHORISED
2026-02-11,Uber,56.83,ACT-IN,ACT-ST,NAB Visa ACT #8815,false,true,true,core,AUTHORISED
2026-02-10,Bitwarden,17.4,ACT-DO,ACT-ST,NAB Visa ACT #8815,false,true,true,core,AUTHORISED
2026-02-10,NAB,2.64,ACT-HQ,ACT-ST,NAB Visa ACT #8815,false,true,false,,AUTHORISED
2026-02-10,NAB,0.61,ACT-HQ,ACT-ST,NAB Visa ACT #8815,false,true,false,,AUTHORISED
2026-02-09,Elders Insurance,8361.21,ACT-FM,ACT-ST,NAB Visa ACT #8815,true,false,false,,AUTHORISED
2026-02-09,Woolworths,124.1,ACT-JP,ACT-ST,NAB Visa ACT #8815,true,true,false,,AUTHORISED
2026-02-09,Uber,42.96,ACT-IN,ACT-ST,NAB Visa ACT #8815,false,true,true,core,AUTHORISED
2026-02-09,Uber,34.25,ACT-IN,ACT-ST,NAB Visa ACT #8815,false,true,true,core,AUTHORISED
2026-02-09,Uber,34.2,ACT-IN,ACT-ST,NAB Visa ACT #8815,false,true,true,core,AUTHORISED
2026-02-09,Uber,30.81,ACT-IN,ACT-ST,NAB Visa ACT #8815,false,true,true,core,AUTHORISED
2026-02-09,Uber,26.31,ACT-IN,ACT-ST,NAB Visa ACT #8815,true,true,true,core,AUTHORISED
2026-02-09,Uber,13.82,ACT-IN,ACT-ST,NAB Visa ACT #8815,true,true,true,core,AUTHORISED
2026-02-09,Uber,9.99,ACT-IN,ACT-ST,NAB Visa ACT #8815,false,true,true,core,AUTHORISED
2026-02-09,NAB,5.03,ACT-HQ,ACT-ST,NAB Visa ACT #8815,false,true,false,,AUTHORISED
2026-02-08,Geebung Treasure Trove,121.92,ACT-UA,ACT-ST,NAB Visa ACT #8815,true,true,false,,AUTHORISED
2026-02-08,The Banhmi House,33.5,ACT-EL,ACT-ST,NAB Visa ACT #8815,true,false,true,core,AUTHORISED
2026-02-07,F V Snowdon And J R Rowden,39.8,ACT-GD,ACT-ST,NAB Visa ACT #8815,true,false,true,supporting,AUTHORISED
2026-02-07,F V Snowdon And J R Rowden,20.5,ACT-IN,ACT-ST,NAB Visa ACT #8815,true,false,true,core,AUTHORISED
2026-02-07,Bitwarden,17.11,ACT-DO,ACT-ST,NAB Visa ACT #8815,true,false,true,core,AUTHORISED
2026-02-06,Esmay,306,ACT-GD,ACT-ST,NAB Visa ACT #8815,true,false,true,supporting,AUTHORISED
2026-02-06,Montes Reef Resort,300,ACT-IN,ACT-ST,NAB Visa ACT #8815,true,false,true,core,AUTHORISED
2026-02-06,Claude.AI,287.07,ACT-IN,ACT-ST,NAB Visa ACT #8815,false,true,true,core,AUTHORISED
2026-02-06,BP,161.9,ACT-GD,ACT-ST,NAB Visa ACT #8815,false,true,true,supporting,AUTHORISED
2026-02-06,LinkedIn Singapore,74.99,ACT-IN,ACT-ST,NAB Visa ACT #8815,false,true,true,core,AUTHORISED
2026-02-06,HighLevel,35.88,ACT-IN,ACT-ST,NAB Visa ACT #8815,false,true,true,core,AUTHORISED
2026-02-06,Figma,31.58,ACT-IN,ACT-ST,NAB Visa ACT #8815,false,true,true,core,AUTHORISED
2026-02-06,NAB,10.05,ACT-HQ,ACT-ST,NAB Visa ACT #8815,false,true,false,,AUTHORISED
