project_code,date,contact_name,total,has_attachments,rd_category,bank_account
ACT-IN,2026-03-03,Qantas,838.74,false,core,NAB Visa ACT #8815
ACT-IN,2026-03-03,Qantas,1236.97,false,core,NAB Visa ACT #8815
ACT-IN,2026-03-03,Uber,30.28,false,core,NAB Visa ACT #8815
ACT-IN,2026-03-03,Uber,24.95,false,core,NAB Visa ACT #8815
ACT-IN,2026-03-03,DocPlay,9.99,false,core,NAB Visa ACT #8815
ACT-IN,2026-03-03,Uber,12.35,false,core,NAB Visa ACT #8815
ACT-IN,2026-03-02,OpenAI,14.11,false,core,NAB Visa ACT #8815
ACT-IN,2026-03-02,Webflow,37.36,false,core,NAB Visa ACT #8815
ACT-IN,2026-03-02,Firecrawl,12.7,false,core,NAB Visa ACT #8815
ACT-IN,2026-03-02,Uber,32.43,false,core,NAB Visa ACT #8815
ACT-IN,2026-03-02,Firecrawl,12.7,false,core,NAB Visa ACT #8815
ACT-IN,2026-03-02,Firecrawl,13.15,false,core,NAB Visa ACT #8815
ACT-IN,2026-03-02,Uber,25.59,false,core,NAB Visa ACT #8815
ACT-IN,2026-03-02,OpenAI,31.05,false,core,NAB Visa ACT #8815
ACT-IN,2026-03-02,Firecrawl,12.7,false,core,NAB Visa ACT #8815
ACT-IN,2026-03-02,Uber,29.51,false,core,NAB Visa ACT #8815
ACT-IN,2026-03-02,Dialpad,56,false,core,NAB Visa ACT #8815
ACT-IN,2026-03-02,Uber,18.98,false,core,NAB Visa ACT #8815
ACT-IN,2026-03-02,Uber,26.41,false,core,NAB Visa ACT #8815
ACT-IN,2026-02-26,Audible,16.45,false,core,NAB Visa ACT #8815
ACT-IN,2026-02-26,Bunnings,571.1,false,core,NAB Visa ACT #8815
ACT-IN,2026-02-24,Railway Corporation,7.13,false,core,NAB Visa ACT #8815
ACT-IN,2026-02-24,HighLevel,138.31,false,core,NAB Visa ACT #8815
ACT-IN,2026-02-23,Only Domains,19.79,false,core,NAB Visa ACT #8815
ACT-IN,2026-02-23,Webflow,45.49,false,core,NAB Visa ACT #8815
ACT-IN,2026-02-23,Squarespace,11.8,false,core,NAB Visa ACT #8815
ACT-IN,2026-02-23,Uber,22.62,false,core,NAB Visa ACT #8815
ACT-IN,2026-02-18,Vercel,28.36,false,core,NAB Visa ACT #8815
ACT-IN,2026-02-18,Uber,26.41,false,core,NAB Visa ACT #8815
ACT-IN,2026-02-18,Uber,66.1,true,core,NAB Visa ACT #8815
ACT-IN,2026-02-17,Uber,58.51,false,core,NAB Visa ACT #8815
ACT-IN,2026-02-17,Hinterland Aviation,187.68,false,core,NAB Visa ACT #8815
ACT-IN,2026-02-17,Uber,96.69,false,core,NAB Visa ACT #8815
ACT-IN,2026-02-16,Codeguide,41.09,true,core,NAB Visa ACT #8815
ACT-IN,2026-02-16,Firecrawl,29.61,false,core,NAB Visa ACT #8815
ACT-IN,2026-02-16,Squarespace,18.9,false,core,NAB Visa ACT #8815
ACT-IN,2026-02-16,Anthropic,15.76,false,core,NAB Visa ACT #8815
ACT-IN,2026-02-16,Webflow,65.62,false,core,NAB Visa ACT #8815
ACT-IN,2026-02-16,Webflow,65.62,false,core,NAB Visa ACT #8815
ACT-IN,2026-02-13,Department of Transport and Main Roads,1058.2,true,core,NAB Visa ACT #8815
ACT-IN,2026-02-13,Uber,21.71,false,core,NAB Visa ACT #8815
ACT-IN,2026-02-13,Xero,75,false,core,NAB Visa ACT #8815
ACT-IN,2026-02-11,Uber,56.83,false,core,NAB Visa ACT #8815
ACT-IN,2026-02-09,Uber,34.25,false,core,NAB Visa ACT #8815
ACT-IN,2026-02-09,Uber,30.81,false,core,NAB Visa ACT #8815
ACT-IN,2026-02-09,Uber,34.2,false,core,NAB Visa ACT #8815
ACT-IN,2026-02-09,Uber,42.96,false,core,NAB Visa ACT #8815
ACT-IN,2026-02-09,Uber,13.82,true,core,NAB Visa ACT #8815
ACT-IN,2026-02-09,Uber,9.99,false,core,NAB Visa ACT #8815
ACT-IN,2026-02-09,Uber,26.31,true,core,NAB Visa ACT #8815
ACT-IN,2026-02-07,F V Snowdon And J R Rowden,20.5,true,core,NAB Visa ACT #8815
ACT-IN,2026-02-06,HighLevel,35.88,false,core,NAB Visa ACT #8815
ACT-IN,2026-02-06,Claude.AI,287.07,false,core,NAB Visa ACT #8815
ACT-IN,2026-02-06,Montes Reef Resort,300,true,core,NAB Visa ACT #8815
ACT-IN,2026-02-06,Figma,31.58,false,core,NAB Visa ACT #8815
ACT-IN,2026-02-06,LinkedIn Singapore,74.99,false,core,NAB Visa ACT #8815
ACT-IN,2026-02-05,HighLevel,35.85,true,core,NAB Visa ACT #8815
ACT-IN,2026-02-05,HighLevel,35.85,true,core,NAB Visa ACT #8815
ACT-IN,2026-02-05,Uber,32.37,true,core,NAB Visa ACT #8815
ACT-IN,2026-02-03,Qantas Group Accommodation,140,true,core,NAB Visa ACT #8815
ACT-IN,2026-02-03,DocPlay,9.99,false,core,NAB Visa ACT #8815
ACT-IN,2026-02-02,Woolworths,88.43,true,core,NAB Visa ACT #8815
ACT-IN,2026-02-02,Exa Labs,0.79,true,core,NAB Visa ACT #8815
ACT-IN,2026-02-02,Anthropic,15.85,false,core,NAB Visa ACT #8815
ACT-IN,2026-02-02,Linktree,15.78,false,core,NAB Visa ACT #8815
ACT-IN,2026-02-02,Uber,46.41,true,core,NAB Visa ACT #8815
ACT-IN,2026-01-30,The Roastery Cafe,82.98,true,core,NAB Visa ACT #8815
ACT-IN,2026-01-30,Garmin Australasia,25,false,core,NAB Visa ACT #8815
ACT-IN,2026-01-30,Qantas Group Accommodation,135,true,core,NAB Visa ACT #8815
ACT-IN,2026-01-30,Qantas Group Accommodation,130,true,core,NAB Visa ACT #8815
ACT-IN,2026-01-30,Qantas Group Accommodation,145,true,core,NAB Visa ACT #8815
ACT-IN,2026-01-30,NAB Fee,2.55,false,core,NAB Visa ACT #8815
ACT-IN,2026-01-30,Squarespace,72.9,false,core,NAB Visa ACT #8815
ACT-IN,2026-01-29,Dialpad,56,true,core,NAB Visa ACT #8815
ACT-IN,2026-01-28,Uber,28.47,false,core,NAB Visa ACT #8815
ACT-IN,2026-01-28,Uber,12.75,false,core,NAB Visa ACT #8815
ACT-IN,2026-01-27,NAB Fee,10.95,false,core,NAB Visa ACT #8815
ACT-IN,2026-01-27,Qantas,110,true,core,NAB Visa ACT #8815
ACT-IN,2026-01-27,Audible,16.45,false,core,NAB Visa ACT #8815
