status,reason,bank_date,payee,bank_amount,document_vendor,document_date,amount_total,source,confidence,target_xero_transaction_id,target_contact_name,target_date,target_total,filename,link_id,receipt_document_id,bank_line_id
skipped,target has 1 attachment(s) in Xero,2025-10-20,Uber,28.17,Uber,2025-10-22,28.17,receipt_email,1,108d67b3-b2e6-4db6-9fdb-ddbfe84e8317,Uber,2025-10-20,28.17,A Curious Tractor  Your Thursday morning trip with-108d67b3.eml,2d028d5c-7d47-43a5-8289-4d0bbf85ecf7,74fedd48-6293-47c4-b6d9-c5597157a5f9,76425c36-3e0c-4b26-bdf9-242a4442580e
skipped,target has 1 attachment(s) in Xero,2025-10-20,Uber,19.81,Uber,2025-10-22,21.9,dext_receipt,1,2073170d-9384-4018-a3d2-d356b989d63f,Uber,2025-10-24,42.55,Uber-receipt.pdf,ba1029f3-ae0b-4b59-abd7-1f5ec51f26de,970f35c2-3d1f-41fc-af93-39283ffaef2e,9233891d-e5e8-4953-80df-05cb77932e28
skipped,target has 1 attachment(s) in Xero,2025-10-20,Uber,19.76,Uber,2025-10-21,17.83,dext_receipt,1,2073170d-9384-4018-a3d2-d356b989d63f,Uber,2025-10-24,42.55,Uber-receipt.pdf,ec704548-8064-4d0d-bf74-100963b0bbb9,c29f71e5-c2f6-4ec7-8fd5-ceadc14c191a,8ce51d71-88ad-434c-96ff-16276c1d0e24
skipped,target has 1 attachment(s) in Xero,2025-10-20,Uber,11.45,Uber,2025-09-29,11.45,receipt_email,1,9d15695c-0a73-47b7-be69-43114919c04e,Uber,2025-09-25,11.45,Reservation confirmed for Tuesday Sep 30-9d15695c.eml,d76e7529-c557-44b2-81d4-342cb84727d5,287607f4-31a3-4bc4-9af4-0278c40cc578,c9fb9ec2-2dc6-4ba7-a2b3-26f84be8cb9a
skipped,target has 1 attachment(s) in Xero,2025-10-21,Uber,78.48,Uber,2025-10-19,78.48,dext_receipt,1,1a58848e-e77c-4cc4-ac56-121019e5ae8d,Uber,2025-10-22,30.62,Uber-receipt.pdf,d6963d1e-f51f-4163-8af8-77547c7a2e28,3fa2cce5-0936-4454-a57b-48ecc9e6e2d4,9ca92d79-e81d-4e6a-9731-9b78c3e85306
skipped,target has 1 attachment(s) in Xero,2025-10-21,Uber,64.37,Uber,2025-10-18,64.37,dext_receipt,1,980c3350-7179-4836-9cb8-4ba52fab4cc7,Uber,2025-10-21,26.59,Uber-receipt.pdf,905280a7-ee01-4049-8087-60ab9a4b5fe3,f27dc63d-03b0-4a6c-943d-2ea59b2bd66e,23e242b0-21e2-4e36-b367-ef3efc88ec6d
skipped,target has 1 attachment(s) in Xero,2025-10-21,Uber,28.8,Uber,2025-10-23,28.8,receipt_email,1,0f49c277-3cbf-4912-9c2f-96c7fee08a55,Uber,2025-10-21,28.8,A Curious Tractor  Your Thursday afternoon trip wi-0f49c277.eml,8d88ecad-ddb2-493a-89f9-6cffbf908023,c2a8f573-c263-4311-9499-c4059d65c559,e3ec8f5e-50ee-455f-a438-aced74ca66dd
skipped,target has 1 attachment(s) in Xero,2025-10-21,Uber,26.59,Uber,2025-10-19,26.59,dext_receipt,1,6710d592-2658-4bad-8712-0e13aa3a59df,Uber,2025-10-22,20.35,Uber-receipt.pdf,2b52702e-40be-474f-bfa8-f27b854ba64e,18a16855-bf83-4b78-b583-cba01e9db27e,1206d20f-feab-4dcb-a5dd-3947273370d9
skipped,target has 1 attachment(s) in Xero,2025-10-21,Uber,26.17,Uber,2025-10-23,26.17,receipt_email,1,a459cfea-f5e8-4c82-b188-4ec2705f1fe7,Uber,2025-10-21,26.17,A Curious Tractor  Your Friday morning trip with U-a459cfea.eml,9b26f422-1528-45df-9cb4-a40c28f3ccf5,1641e2c4-193e-41f7-b581-21330fc66209,fe64fca1-1309-476b-9dfa-40ea09df4c2b
skipped,target has 1 attachment(s) in Xero,2025-10-21,Uber,24,Uber,2025-10-19,24,dext_receipt,1,1a58848e-e77c-4cc4-ac56-121019e5ae8d,Uber,2025-10-22,30.62,Uber-receipt.pdf,9bcf9fd0-7909-4298-bf79-b1de6073d97d,56d9a47c-5b12-4036-892e-7798610452bd,1a917e15-e4e1-419f-943a-ef6201d87882
