name,abn,tier,supply_nation,entity_type,sector,state,remoteness,seifa_decile,latest_revenue,donates_to_party,party_donations
"Batchelor Institute Of Indigenous Tertiary Education","32039179166","self_identified","false","charity","Education","NT","Remote Australia","1","37004000","false",""
"Callida Indigenous Consulting Pty Ltd","44616476469","self_identified","true","company","","ACT","Major Cities of Australia","10","35380901","false",""
"Wirrigan Group Pty Ltd","72620017370","acnc_indigenous","true","social_enterprise","Business & strategic planning services","ACT","Major Cities of Australia","4","35370572","false",""
"Mildura Aboriginal Corporation","54334685198","oric","false","indigenous_corp","Community","","Outer Regional Australia","2","34066002","false",""
"Rumbalara Aboriginal Co-Operative Limited","84530647942","self_identified","false","charity","","VIC","Inner Regional Australia","1","33235615","false",""
"Yamagigu Consulting Pty Limited","51165106712","acnc_indigenous","true","social_enterprise","Remote & regional development programs","ACT","Major Cities of Australia","4","32477874","false",""
"Aboriginal & Torres Strait Islander Legal Service (Qld) Ltd","11116314562","self_identified","false","charity","Legal Services","QLD","Major Cities of Australia","6","31022013","false",""
"Australian Indigenous Education Foundation","13127908187","self_identified","false","foundation","education","NSW","Major Cities of Australia","8","30662988","false",""
"Danila Dilba Biluru Butji Binnilutlum Health Service Aboriginal Corporation","57024747460","oric","true","indigenous_corp","Health","NT","Outer Regional Australia","","29822109","false",""
"Apunipima Cape York Health Council Aboriginal Corporation","26089437717","oric","false","indigenous_corp","Health","QLD","Outer Regional Australia","3","29514715","false",""
"North Australian Aboriginal Justice Agency Ltd","63118017842","self_identified","false","charity","Social Welfare","NT","Outer Regional Australia","9","29098000","false",""
"Aboriginal Housing Victoria Limited","38006210546","self_identified","false","charity","Community","VIC","Major Cities of Australia","9","28660706","false",""
"Willyama Services Pty Limited","21611623575","acnc_indigenous","true","company","","ACT","Major Cities of Australia","1","27917335","false",""
"Victorian Aboriginal Health Service Co Operative Ltd","51825578859","self_identified","false","charity","Health","VIC","Major Cities of Australia","4","27190955","false",""
"Victorian Aboriginal Community Controlled Health Organisation Inc","67498114972","self_identified","false","foundation","health","VIC","Major Cities of Australia","3","27185952","false",""
"INDIGROUP PTY LTD","67638048423","acnc_indigenous","true","social_enterprise","","ACT","Major Cities of Australia","10","26672349","false",""
"NACP Projects Australia Pty Ltd","18618481486","acnc_indigenous","true","social_enterprise","Building construction materials & services","ACT","Major Cities of Australia","7","26650801","false",""
"DCIG GROUP PTY LTD","13640754838","acnc_indigenous","true","social_enterprise","Bridge construction & maintenance","SA","Major Cities of Australia","8","25998586","false",""
"FORM PROJECTS (ACT) PTY LTD","15639273304","acnc_indigenous","true","social_enterprise","Carpentry & joinery services","ACT","Major Cities of Australia","1","25418704","false",""
"WSU Civil Pty Ltd","78619060436","acnc_indigenous","true","social_enterprise","Bridge construction & maintenance","SA","Major Cities of Australia","5","24862284","false",""
"Geraldton Regional Aboriginal Medical Service","98653603543","self_identified","false","charity","Health","WA","Very Remote Australia","3","24757870","false",""
"Bendigo And District Aboriginal Co-Operative Ltd","62135239366","self_identified","false","charity","Health","VIC","Inner Regional Australia","4","23275576","false",""
"Aboriginal Elders & Community Care Services Inc","88772426022","self_identified","false","charity","Community","SA","Major Cities of Australia","6","22179617","false",""
"Aboriginal Health Council Of Western Australia","48114220478","self_identified","true","foundation","health","WA","Major Cities of Australia","8","22108573","false",""
"WINYA INDIGENOUS FURNITURE WINYA PTY LTD","97604704065","self_identified","false","company","","NSW","Major Cities of Australia","4","21830351","true","45000"
"Aboriginal Legal Service of Western Australia Limited","61532930441","self_identified","false","charity","Indigenous","WA","Major Cities of Australia","8","21199791","false",""
"Ballarat & District Aboriginal Cooperative Ltd","33266090956","self_identified","false","charity","","VIC","Inner Regional Australia","6","20964757","false",""
"Gippsland & East Gippsland Aboriginal Co-Operative Ltd","56690276207","self_identified","false","charity","Health","VIC","Outer Regional Australia","3","20425510","false",""
"Wathaurong Aboriginal Co-Operative Ltd","26564626453","self_identified","false","charity","Health","VIC","Major Cities of Australia","1","20408337","false",""
"Anindilyakwa Land Council","45175406445","self_identified","false","charity","","NT","Very Remote Australia","10","20115144","false",""
"Rainbow Gateway Limited","95099662236","acnc_indigenous","true","foundation","","QLD","Remote Australia","3","20112893","false",""
"Palm Island Community Company Limited","14640793728","unclassified","false","charity","Social Welfare","QLD","Outer Regional Australia","6","20103688","false",""
"Carbal Aboriginal and Torres Strait Islander Health Services Limited","50275271535","self_identified","false","charity","Health","QLD","Inner Regional Australia","4","19780996","false",""
"CAZIQUE SOLUTIONS PTY LTD","56114236725","acnc_indigenous","true","social_enterprise","","ACT","Major Cities of Australia","10","19283438","false",""
"MURU MANAGEMENT CONSULTING PTY LTD","53613314551","acnc_indigenous","true","social_enterprise","Management consulting & consultants","ACT","Inner Regional Australia","2","18750001","false",""
"Metropolitan Local Aboriginal Land Council","80842843816","self_identified","false","charity","Indigenous","NSW","Major Cities of Australia","4","17478090","false",""
"Indigenous Wellbeing Centre Aboriginal Corporation","96356361867","oric","false","indigenous_corp","Health","QLD","Inner Regional Australia","2","17293354","false",""
"The Trustee For The Larrakia Development Trust","86752337898","acnc_indigenous","true","foundation","indigenous","NT","Outer Regional Australia","5","17228980","false",""
"AUSKI TRADING PTY LTD","46635174891","acnc_indigenous","true","charity","Education","WA","Major Cities of Australia","8","17183455","false",""
"Melbourne Indigenous Transition School","12141611234","self_identified","false","charity","Education","VIC","Major Cities of Australia","8","16164520","false",""
"Queensland Aboriginal & Islander Health Council","97111116762","self_identified","false","charity","Health","QLD","Major Cities of Australia","8","15964979","false",""
"Derbarl Yerrigan Health Service Aboriginal Corporation","60824221416","oric","false","indigenous_corp","Health","WA","Major Cities of Australia","8","15724042","false",""
"GELGANYEM INVESTMENTS PTY LTD","90132645375","acnc_indigenous","true","charity","Social Welfare","WA","Very Remote Australia","2","15514762","false",""
"Winnunga Nimmityjah Aboriginal Health and Community Services Ltd","52618179061","self_identified","false","charity","Health","ACT","Major Cities of Australia","10","14602758","false",""
"JJJ INFRASTRUCTURE PTY LTD","79638378659","acnc_indigenous","true","social_enterprise","Civil construction","ACT","Major Cities of Australia","6","14474028","false",""
"Kamberra Indigenous Cleaning Pty Ltd","19617594546","self_identified","true","social_enterprise","Carpet cleaning & floor polishing","ACT","Major Cities of Australia","1","14429549","false",""
"Queensland South Native Title Services Limited","88114581556","self_identified","false","charity","","QLD","Major Cities of Australia","6","14348705","false",""
"Kullarri Building Pty Ltd","69081188427","acnc_indigenous","true","charity","Construction","WA","Very Remote Australia","3","14204802","false",""
"Gunditjmara Aboriginal Co-Op Ltd","81365607437","self_identified","false","charity","Health","VIC","Inner Regional Australia","5","14173734","false",""
"Ironbark Aboriginal Corporation","36934790547","oric","true","indigenous_corp","Social Welfare","NT","Outer Regional Australia","5","14089327","false",""
"Corroboree ICT Indigenous Corporation","36838088729","oric","false","indigenous_corp","Education","ACT","Major Cities of Australia","1","14068506","false",""
"Incompro Aboriginal Association Incorporated","56266552349","self_identified","false","charity","","SA","Major Cities of Australia","1","13860460","false",""
"South East Australian Aboriginal Justice Services Limited","45926675900","self_identified","false","charity","","VIC","Major Cities of Australia","6","13567218","false",""
"Jawoyn Aboriginal Charitable Trust No. 1","94023894610","self_identified","false","foundation","arts","NT","Remote Australia","3","13307653","false",""
"Northern Territory Air Services Pty Ltd","94149519399","acnc_indigenous","true","social_enterprise","","ACT","Remote Australia","5","13060175","false",""
"Aboriginal Employment Strategy Limited","68095169412","self_identified","true","charity","","NSW","Major Cities of Australia","4","12921054","false",""
"Coonamble Aboriginal Health Service Limited","26826765257","self_identified","false","charity","Health","NSW","Remote Australia","1","12739382","false",""
"Bungree Aboriginal Association Limited","59718397028","self_identified","false","charity","Health","NSW","Inner Regional Australia","6","12590843","false",""
"Curijo Pty Ltd","22609893021","acnc_indigenous","true","social_enterprise","Community & social services","ACT","Major Cities of Australia","2","12575889","false",""
"Walgett Aboriginal Medical Service Limited","78014990451","self_identified","false","charity","Health","NSW","Remote Australia","2","12538784","false",""
