name,abn,donated,donation_count,parties,contract_value,contract_count,contract_per_donation_dollar,sector,state,is_community_controlled
"HASTHAVEN PTY. LTD.","68010605357","622000","12","CEPU - Electrical Division QLD & NT; Communications, Electrical and Plumbing Union - Electrical, Energy and Services Division","15999","1","0","","QLD","false"
"PJA Solutions","23007229923","620918","28","Australian Labor Party (State of Queensland); Australian Labor Party (Tasmanian Branch) - TAS; Australian Labor Party (Western Australian Branch); Liberal Party (W.A. Division) Inc; Liberal Party (W.A. Division) Inc.; Liberal Party (W.A. Division) Inc. - WA; Liberal Party of Australia (Victorian Division); Mining and Energy Union; Northern Territory Country Liberal Party - NATIONAL","2127770","7","3","","VIC","false"
"AUSTRALIAN LEISURE AND HOSPITALITY GROUP PTY LIMITED","37067391511","620613","71","Australian Labor Party (ALP) - NATIONAL; Australian Labor Party (N.S.W. Branch); Australian Labor Party (SA Branch); Australian Labor Party (South Australian Branch); Australian Labor Party (South Australian Branch) - SA; Australian Labor Party (State of Queensland); Australian Labor Party (Victorian Branch); Forward Brisbane Leadership; Liberal National Party of Queensland; Liberal Party of Australia; Liberal Party of Australia - Federal Secretariat; Liberal Party of Australia (S.A. Division); Liberal Party of Australia (S.A. Division) - SA; Liberal Party of Australia (SA Division); Liberal Party of Australia, NSW Division; Liberal Party of Australia, NSW Division - NSW; National Party of Australia - N.S.W.; National Party of Australia - N.S.W. - NSW; National Party of Australia - NSW","217604","2","0","Agriculture","NSW","false"
"BRUCK TEXTILES PTY LTD","23164226500","617491","47","Australian Labor Party - National Secretariat; Australian Labor Party (ALP); Australian Labor Party (ALP) - NATIONAL; Australian Labor Party (N.S.W. Branch); Australian Labor Party (N.S.W. Branch) - NSW; Australian Labor Party (NSW Branch); Friends of Indi; Liberal Party of Australia; Liberal Party of Australia - NATIONAL; Liberal Party of Australia (NSW Division); Liberal Party of Australia (Victorian Division) - VIC; Liberal Party of Australia, NSW Division; Liberal Party of Australia, NSW Division - NSW; Millennium Forum","1033015","11","2","","TAS","false"
"A.T. Kearney Australia Pty Ltd","20071957474","616000","12","Business Council of Australia","11413432","8","19","","NSW","false"
"Infosys Technologies Limited","52090591209","616000","6","Business Council of Australia","534941403","114","868","","VIC","false"
"SFDC Australia Pty Ltd","91109182989","616000","8","Business Council of Australia","377759229","127","613","","NSW","false"
"IntelligenceBank","73138768564","612616","12","Shop Distributive & Allied Employees Association - VIC Branch","8266601","15","13","","VIC","false"
"MYOB Australia","13086760198","611302","12","Bunori Pty Limited; Business Council of Australia; Liberal Party of Australia","573481","5","1","Technology","VIC","false"
"Australian Computer Society Incorporated","53156305487","605030","39","Australian Labor Party (ALP); Liberal Party of Australia; Liberal Party of Australia, NSW Division","5812154","90","10","Law & Policy","NSW","false"
"Q Automotive Group","47010489460","605006","13","Australian Labor Party (State of Queensland); CFMEU Mining & Energy Division (Qld District Branch); Country Liberal Party (NT); Northern Territory Country Liberal Party","1215818","24","2","","QLD","false"
"BAE SYSTEMS AUSTRALIA LTD","67004210397","604734","24","Automotive Food Metals Engineering Printing & Kindred Ind. Union; Business Council of Australia","233561","3","0","","SA","false"
"Value Adviser Associates Pty Ltd","54131852607","604306","6","Shop Distributive & Allied Employees Association - VIC Branch","1063491","18","2","","VIC","false"
"Lemon Baxter Pty Ltd","45055104624","601898","4","Australian Rail Tram & Bus Union (Victorian Branch)","1248561","2","2","","VIC","false"
"Pipe Networks Limited","21099104122","601876","14","Australian Labor Party (N.S.W. Branch); Australian Labor Party (State of Queensland); Labor Holdings Pty Ltd; Liberal Party of Australia (Victorian Division); United Workers Union","1664774","17","3","","VIC","false"
"High Court of Australia","69445188986","600374","2","Palmer United Party","18810","1","0","","ACT","false"
"TRUSTEE FOR THE MORRIS FAMILY TRUST","55131893970","600000","3","Liberal National Party of Queensland","14300","1","0","","QLD","false"
"Creative Partnerships Australia","88072479835","600000","8","Media Entertainment & Arts Alliance","61490","1","0","","VIC","false"
"ACT Government","72397293490","598400","6","Construction, Forestry, Maritime Employees Union; United Workers Union","106278","3","0","","ACT","false"
"Nioa Nominees PTY LTD ATF Bill Nioa Family Trust","87010108086","594527","42","Australian Labor Party (ALP); Australian Labor Party (N.S.W. Branch); KAP-FED; Katter's Australian Party; Katter's Australian Party (KAP); Liberal Democratic Party; Liberal National Party of Queensland; Liberal Party of Australia","71548","1","0","","QLD","false"
"Energy Industrial","75359567375","592652","2","New South Wales Local Government Clerical Administrative Energy Airlines & Utilities Union T/A United Services Union","115496","4","0","","NT","false"
"BILLBERGIA PTY. LTD.","56008645136","590222","23","Australian Labor Party (ALP); Australian Labor Party (State of Queensland); CFMEU Construction and General Division, New South Wales Divisional Branch; Construction, Forestry, Maritime Employees Union; Forward Brisbane Leadership; Liberal National Party of Queensland; Liberal Party of Australia, NSW Division","0","1","0","","NSW","false"
"Mediterranean Shipping Company (Aust) Pty Ltd","12003760638","589950","23","Liberal Party of Australia, NSW Division; Liberal Party of Australia, NSW Division - NSW; Millennium Forum","20196","1","0","","WA","false"
"LENDLEASE CONSTRUCTION (QLD / WA) PTY LIMITED (61 006 505 559)","61006505559","587209","77","Australian Labor Party (ALP); Australian Labor Party (State of Queensland) - QLD; Australian Labor Party (Victorian Branch); Liberal Party (W.A. Division) Inc; Liberal Party of Australia; Liberal Party of Australia - Federal Secretariat; Liberal Party of Australia - NATIONAL; Liberal Party of Australia - Queensland Division; Liberal Party of Australia - Queensland Division - QLD; Liberal Party of Australia (S.A. Division); Liberal Party of Australia (VIC Division); Liberal Party of Australia (Victorian Division); Liberal Party of Australia, NSW Division; Liberal Party of Australia, NSW Division - NSW; National Party of Australia - Victoria; National Party of Australia (Queensland) - QLD; The Brisbane's Future Committee","240490864","13","410","Finance","NSW","false"
"iSOFT Group Limited","66063539702","586000","55","Australian Labor Party (ALP); Australian Labor Party (N.S.W. Branch); Australian Labor Party (State of Queensland); Liberal Party of Australia; Liberal Party of Australia, NSW Division; Liberal Party of Australia, NSW Division - NSW; Progressive Business Association; Progressive Business Association Inc","1826572","2","3","","QLD","false"
"Friendly Society Medical Association Limited","69088347602","584191","100","ALP-SA; Australian Democrats SA Division; Australian Democrats SA Division - SA; Australian Labor Party (ALP); Australian Labor Party (ALP) - NATIONAL; Australian Labor Party (N.S.W. Branch); Australian Labor Party (N.S.W. Branch) - NSW; Australian Labor Party (South Australian Branch); Australian Labor Party (South Australian Branch) - SA; Australian Labor Party (Victorian Branch); LIB-SA; Liberal Party of Australia (S.A. Division); Liberal Party of Australia (S.A. Division) - SA","19979300","1","34","Retail","SA","false"
"Australian Digital Health Agency","84425496912","583330","18","Australian Nursing & Midwifery Federation","33243907","8","57","Health","NSW","false"
"Perpetual Trustee Company Limited","42000001007","583248","10","Liberal Party of Australia, NSW Division","667860161","49","1145","Finance","NSW","false"
"CONSCIA PTY LTD & KELLOGG BROWN & ROOT PTY LTD","51594852207","581000","79","Australian Labor Party (ALP); Australian Labor Party (ALP) - NATIONAL; Australian Labor Party (N.S.W. Branch); Australian Labor Party (N.S.W. Branch) - NSW; Australian Labor Party (Northern Territory) Branch; Australian Labor Party (Northern Territory) Branch - NT; Australian Labor Party (South Australian Branch); Australian Labor Party (South Australian Branch) - SA; Australian Labor Party (State of Queensland); Australian Labor Party (State of Queensland) - QLD; Australian Labor Party (Victorian Branch); Australian Labor Party (Victorian Branch) - VIC; Australian Labor Party (Western Australian Branch) - WA; Liberal Party (W.A. Division) Inc. - WA; Liberal Party of Australia; Liberal Party of Australia - NATIONAL; Liberal Party of Australia - Queensland Division - QLD; Liberal Party of Australia (S.A. Division); Liberal Party of Australia (S.A. Division) - SA; Liberal Party of Australia (Victorian Division); Liberal Party of Australia (Victorian Division) - VIC; Liberal Party of Australia, NSW Division; Liberal Party of Australia, NSW Division - NSW; Northern Territory Country Liberal Party - NATIONAL; The Liberal Party of Western Australia Pty Ltd","7388331","2","13","","SA","false"
"FAIRFAX MEDIA LIMITED","15008663161","578763","89","Australian Democrats; Australian Democrats, Western Australian Division - WA; Australian Labor Party (ALP); Australian Labor Party (ALP) - NATIONAL; Australian Labor Party (N.S.W. Branch); Australian Labor Party (N.S.W. Branch) - NSW; Australian Labor Party (State of Queensland); Christian Democratic Party (Fred Nile Group); Labor Holdings Pty Ltd; Liberal Party of Australia; Liberal Party of Australia - NATIONAL; Liberal Party of Australia (NSW Division); Liberal Party of Australia (Victorian Division); Liberal Party of Australia (Victorian Division) - VIC; Liberal Party of Australia, NSW Division; Liberal Party of Australia, NSW Division - NSW; Media Entertainment & Arts Alliance; National Party of Australia; National Party of Australia - N.S.W.; National Party of Australia - N.S.W. - NSW; National Party of Australia - NATIONAL; Progressive Business Association Inc; The Liberal Foundation Inc","141029","5","0","","NSW","false"
"The University Of Adelaide","61249878937","576898","4","Universities Australia","352415085","763","611","education","SA","false"
"HITACHI AUSTRALIA PTY LTD","34075381332","572000","6","Business Council of Australia","1214486","7","2","","NSW","false"
"MYHOMECARE PTY LTD (99 070 593 378)","99070593378","571500","14","Australian Nursing & Midwifery Federation; Australian Services Union - Victorian & Tasmanian Authorities & Services Branch; Canberra Labor Club Limited","15000","1","0","Finance","NSW","false"
"Dr Peter Edwards","57757683742","570000","10","Australian Labor Party (Victorian Branch); Liberal Party of Australia","11000","1","0","","VIC","false"
"Veda Advantage Ltd","29080662568","567942","10","Australian Labor Party (ALP); Community and Public Sector Union (PSU Group)","11140778","9","20","","NSW","false"
"XL INSURANCE COMPANY SE","36083570441","564636","18","Automotive Food Metals Engineering Printing & Kindred Ind. Union; Shop Distributive & Allied Employees' Asn. NSW Deductions A/C Office; United Workers Union","805732","1","1","Finance","NSW","false"
"CITIGROUP PTY LIMITED","88004325080","563980","8","Australian Labor Party (ALP); Business Council of Australia; Liberal Party of Australia (S.A. Division)","15949498","2","28","Finance","NSW","false"
"TNT Australia","41000495269","562030","60","Australian Labor Party (ALP); Australian Labor Party (N.S.W. Branch); Australian Labor Party (N.S.W. Branch) - NSW; Australian Labor Party (NSW Branch); Australian Labor Party (State of Queensland); Australian Labor Party (Western Australian Branch); Australian Labor Party (Western Australian Branch) - WA; Liberal Party (W.A. Division) Inc; Liberal Party (W.A. Division) Inc. - WA; Liberal Party of Australia (NSW Division); Liberal Party of Australia, NSW Division; Liberal Party of Australia, NSW Division - NSW; National Party of Australia (WA) Inc; The Free Enterprise Foundation; Transport Workers Union of Australia SA/NT Branch","34657668","246","62","Transport","NSW","false"
"JARED JACOBS","89951368056","561000","6","Business Council of Australia","1213276","22","2","","WA","false"
"GASMAK PTY LIMITED","71157730580","558000","8","Construction, Forestry, Maritime Employees Union","50930","1","0","","VIC","false"
"DP WORLD","41009106763","557320","6","Construction, Forestry, Maritime Employees Union; Liberal Party of Australia","47082","1","0","","NSW","false"
"ABAX KINGFISHER PTY LTD (79 064 734 505)","79064734505","557124","45","Australian Labor Party (N.S.W. Branch); Australian Labor Party (N.S.W. Branch) - NSW; Automotive Food Metals Engineering Printing & Kindred Ind. Union; Construction, Forestry, Maritime Employees Union; Liberal Party of Australia (Victorian Division)","39617","2","0","","NSW","false"
"VEOLIA ENVIRONMENTAL SERVICES (AUSTRALIA) PTY LTD (20 051 316 584)","70002902650","554900","40","Australian Labor Party (State of Queensland); Labor West; Liberal National Party of Queensland","60300945","110","109","Mining","NSW","false"
"Jandakot Airport Holdings Pty Ltd","57081643156","552000","24","Australian Labor Party (ALP); Liberal Party (W.A. Division) Inc; Perth Trades Hall Inc","926518","1","2","","WA","false"
"HUON CONTRACTORS PTY LTD","33094145409","550388","6","Australian Labor Party (Western Australian Branch); Construction, Forestry, Maritime Employees Union; Liberal Party (W.A. Division) Inc","18246235","2","33","Construction","ACT","false"
"ATECO AUTOMOTIVE PTY LIMITED","34000486706","550000","20","Liberal Party of Australia; Liberal Party of Australia - NATIONAL","232022118","16","422","","NSW","false"
"National Disability Services Limited","52008445485","550000","4","Australian Services Union of NSW & ACT (Services) Branch","2905588","12","5","disability","ACT","false"
"Clean Energy Council","84127102443","550000","38","Australian Labor Party (ALP); Liberal Party of Australia (Victorian Division); Progressive Business Association Inc","528106","17","1","","VIC","false"
"Jacobs Group (Australia) Pty Limited","37001024095","549652","48","Australian Labor Party (N.S.W. Branch); Australian Labor Party (N.S.W. Branch) - NSW; Australian Labor Party (NSW Branch); Australian Labor Party (State of Queensland); Australian Labor Party (Victorian Branch); Business Council of Australia; Forward Brisbane Leadership; Liberal Lord Mayor of Brisbane; Liberal Party of Australia - Queensland Division; Liberal Party of Australia (NSW Division); Liberal Party of Australia (NSW) Ryde Forum; Liberal Party of Australia (Victorian Division); Liberal Party of Australia, NSW Division; Queensland Research Pty Ltd","775973103","996","1412","","NSW","false"
"Sarina Russo Job Access (Australia) Pty. Ltd.","21090052350","549310","105","Australian Labor Party (ALP); Australian Labor Party (N.S.W. Branch) - NSW; Australian Labor Party (State of Queensland); Australian Labor Party (State of Queensland) - QLD; Australian Labor Party (Victorian Branch) - VIC; Forward Brisbane Leadership; Liberal National Party of Queensland; Liberal Party (W.A. Division) Inc; Liberal Party of Australia; Liberal Party of Australia - NATIONAL; Liberal Party of Australia - Queensland Division - QLD; Liberal Party of Australia (Victorian Division) - VIC; Liberal Party of Australia, NSW Division; Liberal Party of Australia, NSW Division - NSW; National Party of Australia (Queensland) - QLD; The Liberal Party of Australia","809711428","68","1474","Health","QLD","false"
"WSP Australia Pty Ltd","80078004798","547550","17","Business Council of Australia; Liberal Party of Australia; Liberal Party of Australia (S.A. Division); Liberal Party of Australia, NSW Division","221357081","397","404","","NSW","false"
"AUSTRALIAN CHAMBER OF COMMERCE AND","85008391795","547000","24","Australian Labor Party (ALP); Liberal Party of Australia; Liberal Party of Australia, NSW Division","748242","4","1","","ACT","false"
"Built Pty Ltd","24083928045","546996","24","Australian Labor Party (ALP); Australian Labor Party (Western Australian Branch); CFMEU Construction and General Division, New South Wales Divisional Branch; Construction, Forestry, Maritime Employees Union; Liberal National Party of Queensland; Liberal Party of Australia; Perth Trades Hall Inc","1089306549","110","1991","Construction","NSW","false"
"National Foods","65004486631","544762","16","Labor Holdings Pty Ltd","997296","1","2","Manufacturing","NSW","false"
"Australian Stock Exchange Ltd","98008624691","544686","48","Australian Democrats; Australian Labor Party (ALP); Australian Labor Party (N.S.W. Branch); Liberal Party of Australia; Liberal Party of Australia, NSW Division","38145","1","0","Finance","NSW","false"
"DOWNER EDI WORKS PTY LTD (66 008 709 608)","66008709608","544385","50","Australian Christians; Australian Christians - ACH; Australian Christians ACH-FED; Australian Labor Party (Northern Territory) Branch; Australian Labor Party (State of Queensland); Christian Democratic Party - WA; Christian Democratic Party (Fred Nile Group) WA Branch; Christian Democratic Party (Fred Nile Group) WA Branch CDP-WA; Country Liberal Party (NT); Liberal National Party of Queensland; Liberal Party; Liberal Party (W.A. Division) Inc; Liberal Party (W.A. Division) Inc.; Liberal Party of Australia - Queensland Division; Liberal Party of Australia - Queensland Division - QLD; National Party of Australia; National Party of Australia - NATIONAL; National Party of Australia (Queensland); National Party of Australia (Queensland) - QLD; The Free Enterprise Foundation","538040316","169","988","Mining","NSW","false"
"Bishopp Outdoor Advertising Pty Ltd","62603437958","543652","67","Australian Labor Party (State of Queensland); Australian Labor Party (Victorian Branch); Liberal National Party of Queensland; Liberal Party of Australia (VIC Division); Liberal Party of Australia (Victorian Division)","30092","1","0","","QLD","false"
"Tourism Accommodation Australia","64243628807","543000","8","Australian Labor Party (ALP); Australian Labor Party (Victorian Branch); National Party of Australia - Victoria","22000","1","0","Housing","NSW","false"
"Adco Constructions Pty Ltd","46001044391","542420","22","Australian Labor Party (N.S.W. Branch); CFMEU Construction and General Division, New South Wales Divisional Branch; Construction, Forestry, Maritime Employees Union; Faircloth & Reynolds Pty Ltd; Liberal National Party of Queensland","695982184","16","1283","Construction","NSW","false"
"BGC (AUSTRALIA) PTY LTD","62005736005","541996","61","Australian Labor Party (ALP); Labor Holdings Pty Ltd; Liberal Party (W.A. Division) Inc; Liberal Party of Australia; National Party of Australia; National Party of Australia (WA) Inc; The 500 Club Inc","8736245","2","16","Construction","WA","false"
"WORKERS COMPENSATION NOMINAL INSURER","83564379108","540804","10","Australian Education Union; Australian Nursing & Midwifery Federation; Construction, Forestry, Maritime Employees Union; Electrical Trades Union of Australia NSW Branch; Transport Workers Union of New South Wales","107882","2","0","","NSW","false"
"ISENTIA PTY LIMITED","11002533851","540330","45","Australian Labor Party (ALP); Australian Labor Party (N.S.W. Branch); Australian Labor Party (Victorian Branch); Liberal Party of Australia, NSW Division; Media Entertainment & Arts Alliance; Progressive Business Association Inc","153376389","348","284","","NSW","false"
"CKI UTILITIES DEVELOPMENT LIMITED & Others (13 332 330 749)","13332330749","540000","36","Australian Labor Party (South Australian Branch); Australian Labor Party (South Australian Branch) - SA; Liberal Party of Australia (S.A. Division); Liberal Party of Australia (S.A. Division) - SA","25235621","14","47","Mining","SA","false"
"BAPCOR RETAIL PTY LTD (99 159 177 803)","99159177803","540000","2","United Workers Union","169524","2","0","Retail","VIC","false"
"ABCORP AUSTRALASIA PTY LTD","25072977292","537090","82","Australian Labor Party (Victorian Branch); Australian Labor Party (Victorian Branch) - VIC; Liberal Party of Australia - ACT Division - ACT; Liberal Party of Australia - Queensland Division - QLD; Liberal Party of Australia, NSW Division; Liberal Party of Australia, NSW Division - NSW; National Party of Australia; National Party of Australia - N.S.W.; National Party of Australia - N.S.W. - NSW; National Party of Australia - NATIONAL","28997124","83","54","","VIC","false"
"Southern Cross Austereo Pty Ltd","78109243110","533848","2","United Australia Party","173185","3","0","","VIC","false"
"Diners Club","35004343051","521692","4","Australian Labor Party (N.S.W. Branch); Liberal Party of Australia - ACT Division","14200057","10","27","","NSW","false"
"CV MEDIA &amp; SIGNAGE PTY LTD","34109353595","520940","42","Australian Labor Party (N.S.W. Branch); Australian Labor Party (N.S.W. Branch) - NSW; Australian Labor Party (Northern Territory) Branch - NT; Australian Labor Party (South Australian Branch); Australian Labor Party (State of Queensland); Australian Labor Party (Victorian Branch) - VIC; CFMEU Construction and General Division, New South Wales Divisional Branch; Country Liberal Party (NT); Inverell Power Farm Co; Liberal Party (W.A. Division) Inc; Liberal Party of Australia; Liberal Party of Australia - Queensland Division; Liberal Party of Australia - Queensland Division - QLD; Liberal Party of Australia (Victorian Division) - VIC; Liberal Party of Australia, NSW Division; Liberal Party of Australia, NSW Division - NSW","86056","4","0","construction","QLD","false"
"ARN MEDIA LIMITED","95008637643","520326","27","Australian Labor Party (ALP); Australian Labor Party (N.S.W. Branch); Australian Labor Party (Western Australian Branch); Australian Labor Party (Western Australian Branch) - WA; Labor Holdings Pty Ltd; Liberal Party of Australia (Victorian Division)","13440","1","0","","NSW","false"
"NSW DEPARTMENT OF EDUCATION & TRAINING","40300173822","520184","18","Australian Nursing & Midwifery Federation; CFMEU - Construction & General Division (WA Branch)","358123723","39","688","Education","NSW","false"
"Australian Private Hospitals Association","82008623809","519604","88","Australian Labor Party (ALP); Australian Labor Party (ALP) - NATIONAL; Australian Labor Party (N.S.W. Branch); Australian Labor Party (N.S.W. Branch) - NSW; Liberal Party of Australia; Liberal Party of Australia - ACT Division; Liberal Party of Australia - ACT Division - ACT; Liberal Party of Australia - NATIONAL; Liberal Party of Australia - Tasmanian Division; Liberal Party of Australia - Tasmanian Division - TAS; Liberal Party of Australia (S.A. Division); Liberal Party of Australia (S.A. Division) - SA; Liberal Party of Australia (Victorian Division); Liberal Party of Australia, NSW Division; Liberal Party of Australia, NSW Division - NSW; National Party of Australia; National Party of Australia - N.S.W.","499658","2","1","","ACT","false"
"BILD GROUP PTY LTD (48 645 883 996)","78099996344","518890","12","Liberal Party of Australia (Victorian Division); Liberal Party of Australia, NSW Division; The 500 Club (VIC)","19388796","1","37","Construction","VIC","false"
"COLAS AUSTRALIA GROUP PTY LTD (11 000 388 161)","52001089416","518000","10","Australian Labor Party (N.S.W. Branch); Australian Labor Party (NSW Branch); Liberal Party of Australia; Liberal Party of Australia (Victorian Division); Liberal Party of Australia, NSW Division","9399693","2","18","Construction","NSW","false"
"Union Switch & Signal Pty Ltd","34068707380","517750","23","Australian Labor Party (N.S.W. Branch); Australian Labor Party (N.S.W. Branch) - NSW; Australian Labor Party (State of Queensland) - QLD","2018629","3","4","","WA","false"
"Goodstart Early Learning Ltd","69139967794","517000","10","Australian Labor Party (State of Queensland); The Parenthood Project Limited","330000","1","1","Education","QLD","false"
"Paspaley Pearling Company","67009591708","516050","37","Australian Labor Party (Northern Territory) Branch; Australian Labor Party (Northern Territory) Branch - NT; Australian Labor Party (Western Australian Branch) - WA; CLP Gifts & Legacies Pty Ltd; Country Liberal Party (NT); Country Liberals (Northern Territory); Liberal Party (W.A. Division) Inc; Liberal Party (W.A. Division) Inc. - WA; Liberal Party of Australia - Tasmanian Division; Liberal Party of Australia, NSW Division; National Party of Australia (WA) Inc - WA; NT Country Liberal Party","42240","1","0","","NT","false"
"Perpetual Nominees Limited","37000733700","515676","8","Automotive Food Metals Engineering Printing & Kindred Ind. Union; Labor Campaign Pty Ltd; Liberal National Party of Queensland","8546406","7","17","","NSW","false"
"Macdonald and Michel Lawyers","90137395674","515564","2","Construction, Forestry, Maritime Employees Union","23022","2","0","Legal Services","QLD","false"
"CHEVRON AUSTRALIA DOWNSTREAM FUELS PTY LTD (34 009 644 151)","34009644151","515250","23","Australian Labor Party (Northern Territory) Branch; Australian Labor Party (Northern Territory) Branch - NT; Country Liberal Party (NT); Country Liberals (Northern Territory); Liberal Party of Australia, NSW Division; Northern Territory Country Liberal Party - NATIONAL","101269282","51","197","Mining","QLD","false"
"Chamber of Commerce NT","36160572513","513056","6","Australian Chamber of Commerce and Industry","383072","1","1","","NT","false"
"ELI LILLY AUSTRALIA PTY LIMITED","39000233992","512917","87","ALP; Australian Democrats; Australian Labor Party; Australian Labor Party (ALP); Australian Labor Party (N.S.W. Branch); Liberal Party (W.A. Division) Inc; Liberal Party of Australia; Liberal Party of Australia, NSW Division; Liberal Party of Australia, NSW Division - NSW; National Party of Australia - N.S.W. - NSW","514968","13","1","Health","NSW","false"
"Pacific Dunlop Ltd","89004085330","512872","52","Australian Labor Party - National Secretariat; Australian Labor Party (ALP); Australian Labor Party (N.S.W. Branch); Australian Labor Party (NSW Branch); Australian Labor Party (VIC Branch); Australian Labor Party (Victorian Branch); Liberal Party of Australia; Liberal Party of Australia - Federal Secretariat; Liberal Party of Australia (NSW Division); Liberal Party of Australia (VIC Division); Liberal Party of Australia (Victorian Division); Liberal Party of Australia, NSW Division; National Club Ltd; National Party of Australia; National Party of Australia - National Secretariat; National Party of Australia - Victoria","8536584","16","17","Health","VIC","false"
"OFFICE OF INDUSTRIAL RELATIONS","94496188983","510400","10","Australian Municipal, Administrative, Clerical and Services Union - Queensland (Services and Northern Administrative) Branch","889069","1","2","","QLD","false"
"BAE Systems Applied Intelligence Pty Ltd","12121213803","508200","2","Liberal Party of Australia - ACT Division","275000","1","1","","NSW","false"
"Joondanna Investments","47009596052","500900","30","Australian Labor Party (Northern Territory) Branch; Australian Labor Party (NT); Country Liberal Party (NT); Country Liberals (Northern Territory); Northern Territory Country Liberal Party","9310089","8","19","","NT","false"
"Revesby Workers Club Ltd","34000348121","493940","90","Australian Labor Party (ALP); Australian Labor Party (N.S.W. Branch); Australian Labor Party (N.S.W. Branch) - NSW; Australian Labor Party (NSW Branch)","109989","1","0","","NSW","false"
"NW PEOPLE GROUP PTY LTD","47134737812","492838","10","Australian Labor Party (State of Queensland); Construction, Forestry, Maritime Employees Union; The 500 Club (VIC)","298440","2","1","","NSW","false"
"SAP Australia Pty Ltd","26003682504","486705","18","Australian Labor Party (ALP); Australian Labor Party (State of Queensland); Business Council of Australia; Liberal Party of Australia - Tasmanian Division; The Great Australian Party","5113233694","846","10506","Technology","NSW","false"
"BEILBY DOWNING TEAL PTY LTD (91 097 109 012)","91097109012","482675","26","Australian Labor Party (Western Australian Branch); Liberal Party (W.A. Division) Inc; National Party of Australia (WA) Inc","171986","5","0","","WA","false"
"Australian Government Solicitor (AGS)","69405937639","476314","4","Liberal Party of Australia (Victorian Division); Liberal Party of Australia, NSW Division","1512256138","9089","3175","Legal Services","ACT","false"
"GRP General Roofing Products Pty Ltd","82009616059","476066","26","Australian Labor Party (N.S.W. Branch); Australian Labor Party (State of Queensland); Automotive Food Metals Engineering Printing & Kindred Ind. Union; Liberal Party of Australia; Liberal Party of Australia - Queensland Division - QLD; The Free Enterprise Foundation; United Workers Union","566100","1","1","Construction","NT","false"
"COCKRAM CONSTRUCTION","99004799508","473852","6","CFMEU Construction and General Division, New South Wales Divisional Branch","188525736","9","398","Construction","VIC","false"
"Ultimate Design Graphics Pty Ltd","71110424916","468468","21","Australian Hotels Association; Australian Labor Party (N.S.W. Branch); Australian Labor Party (Tasmanian Branch); Liberal Party (W.A. Division) Inc; Liberal Party of Australia (Victorian Division); Liberal Party of Australia, NSW Division; Shop Distributive & Allied Employees Association - VIC Branch","237211","3","1","","VIC","false"
"Ikea Pty Ltd","84006270757","467474","2","Faircloth & Reynolds Pty Ltd","36078","2","0","Agriculture","NSW","false"
"MHPS PLANT SERVICES PTY LTD","87010975256","465700","24","Australian Labor Party (ALP); Australian Labor Party (N.S.W. Branch); Australian Labor Party (State of Queensland); Australian Labor Party (Western Australian Branch); Liberal Party of Australia; Liberal Party of Australia (Victorian Division); Liberal Party of Australia, NSW Division","745500","1","2","","NSW","false"
"Tasmanian Chamber of Commerce and Industry","77009475987","465650","8","Australian Chamber of Commerce and Industry; Liberal Party of Australia, NSW Division","833144","2","2","","TAS","false"
"ARE MEDIA PTY LIMITED (18 053 273 546)","18053273546","464300","12","Automotive Food Metals Engineering Printing & Kindred Ind. Union","508830","12","1","","NSW","false"
"ONESTEEL TRADING PTY LIMITED","50007519646","464000","30","Australian Labor Party (ALP); Liberal Party of Australia; National Party of Australia - N.S.W.","213255","9","0","","NSW","false"
"Northern Beaches Council","57284295198","462660","26","New South Wales Local Government Clerical Administrative Energy Airlines & Utilities Union T/A United Services Union","77408","4","0","","NSW","false"
"Property Exchange Australia Ltd","92140677792","459860","4","Communications, Electrical and Plumbing Union - Electrical, Energy and Services Division; Mining and Energy Union","103000","2","0","Finance","VIC","false"
"LCN Enterprises","76104048624","459008","4","Construction, Forestry, Maritime Employees Union","14712","1","0","","QLD","false"
"Department of Justice","32790228959","453586","4","Australian Labor Party (ACT Branch); Liberal Party of Australia - ACT Division","3897535","40","9","","","false"
"Vicinity Centres","77007413771","451916","6","Business Council of Australia","5695686","1","13","","VIC","false"
"NEW ZEALAND HOLDINGS PTY LTD","12009382870","450850","4","Australian Council of Trade Unions","51736","4","0","","WA","false"
"SCYNE ADVISORY","20607773295","446200","10","Australian Labor Party (State of Queensland); Business Council of Australia; Liberal Party of Australia - ACT Division","742051546","774","1663","","ACT","false"
"Intuit Australia","28163072704","445694","14","Australian Labor Party (ALP); Laneway Assets Pty Ltd; Laneway Assets Pty Ltd as Trustee for the National Policy Forum Trust","129156","3","0","","NSW","false"
"KIMBERLY-CLARK AUSTRALIA PTY. LIMITED (65 000 032 333)","65000032333","444984","14","CFMEU FFPD Division","443700","1","1","Mining","NSW","false"
"OPTUS Billing Services","95088011536","444396","16","Automotive Food Metals Engineering Printing & Kindred Ind. Union; CFMEU Northern Mining & NSW Energy District; Construction, Forestry, Maritime Employees Union","245066668","356","551","","NSW","false"
"SIRVA RELOCATION PTY LTD (95 098 843 326)","95098843326","443668","2","Coombe Nut Farm","694835","28","2","Transport","VIC","false"
"METAL MANUFACTURES PTY LIMITED (13 003 762 641)","13003762641","442420","10","AWU Port Kembla Branch; National Club Ltd","499971983","410","1130","Construction","NSW","false"
"Melbourne Business School Limited","80007268233","440000","8","Business Council of Australia","76744963","208","174","education","VIC","false"
